variable_1,variable_2,COAT
Paraclostridium,Eisenbergiella,0.0
Methylobacterium-Methylorubrum,Rikenellaceae_RC9_gut_group,0.1247483829365014
Frisingicoccus,Family_XIII_AD3011_group,-0.060499387031776444
Candidatus_Methanogranum,Enhydrobacter,0.7304272300210216
Hungatella,[Eubacterium]_hallii_group,0.0
Tyzzerella,Monoglobus,0.20876944418558718
UCG-007,Marvinbryantia,-0.24850131695337058
Actinotignum,Oceanivirga,0.9670288972154157
Halomonas,Epulopiscium,0.5938435573218339
Barnesiella,Dorea,0.3432182700237894
Angelakisella,RF39,0.12639724795703172
Acetanaerobacterium,Succinatimonas,0.4821812639957274
Anaerobiospirillum,Proteus,0.7297010336951667
Paracoccus,Cellulosilyticum,0.635573865789675
UCG-003,Libanicoccus,-0.536662033689188
RF39,Coprococcus,0.349784919273934
Enterobacter,Erysipelatoclostridiaceae,0.9041386995611438
Hydrocarboniphaga,Sellimonas,0.02138587207632814
marine_group,Lachnospiraceae_UCG-007,0.978221850747898
Faecalibaculum,Adlercreutzia,-0.26079296389108836
Obscuribacteraceae,Geobacillus,0.9401617274361834
Saccharimonadaceae,Peptostreptococcus,0.43657753240069475
Prevotellaceae_UCG-001,Eisenbergiella,0.0
Succinatimonas,Defluviitaleaceae_UCG-011,0.2556655811415132
Denitrobacterium,Harryflintia,0.8092699052943484
Jonquetella,Staphylococcus,0.5379099580305202
Lachnospiraceae_UCG-001,Limosilactobacillus,0.02460196079353672
Lachnospiraceae_NC2004_group,Lactococcus,0.0
Dermacoccus,GCA-900066755,0.7712839765224064
Jonquetella,Allisonella,-0.1937676993341904
Alishewanella,Scardovia,0.8915851576535262
Prevotellaceae_UCG-001,[Ruminococcus]_torques_group,-0.26793797674791237
Gardnerella,Gemella,0.060422222963086095
Pseudonocardia,Victivallis,0.167562354663712
Cloacibacillus,Coprobacter,-0.08365309257587664
Candidatus_Methanogranum,Raoultibacter,0.341390930636657
Terrisporobacter,Megasphaera,0.0
Dellaglioa,GCA-900066575,-0.01031232470456752
Dubosiella,Proteus,0.7389521263565367
Lachnospiraceae_NK4A136_group,Izemoplasmatales,0.0
Parvibacter,Butyricimonas,-0.43426592205478515
Muribaculaceae,Erysipelatoclostridium,-0.2281872016278168
Tissierella,Macrococcus,0.9119461142331191
Caproiciproducens,Leuconostoc,0.16071786225061763
Legionella,Dielma,0.3672809867834902
Proteus,Companilactobacillus,0.6949930596252638
Ruminococcus,[Eubacterium]_hallii_group,0.416352273356269
Merdibacter,Saccharimonadales,0.4804278322913964
Gardnerella,Paeniclostridium,0.35092872789839036
Candidatus_Soleaferrea,Family_XIII_AD3011_group,-0.1338928360681288
Obscuribacteraceae,DTU014,0.9363440550611631
